log_id,timestamp,day,employee_id,resource_id,action,volume_mb
L00006,2026-08-05 16:08:00,5,E01,R2,export,107.12
L00088,2026-08-06 09:05:00,6,E04,R3,view,39.35
L00144,2026-08-06 09:13:00,6,E06,R5,view,40.31
L00207,2026-08-06 09:58:00,6,E08,R6,export,45.34
L00236,2026-08-06 13:32:00,6,E09,R8,view,34.73
L00031,2026-08-06 15:49:00,6,E02,R2,view,40.78
L00268,2026-08-06 16:03:00,6,E10,R8,view,28.8
L00087,2026-08-06 16:27:00,6,E04,R8,download,12.05
L00206,2026-08-06 16:39:00,6,E08,R6,export,68.32
L00267,2026-08-06 16:48:00,6,E10,R8,view,43.02
L00007,2026-08-07 09:13:00,7,E01,R2,view,34.84
L00119,2026-08-07 09:53:00,7,E05,R5,view,44.57
L00208,2026-08-07 09:59:00,7,E08,R6,view,46.7
L00032,2026-08-07 10:15:00,7,E02,R2,download,46.12
L00237,2026-08-07 10:38:00,7,E09,R8,view,32.85
L00090,2026-08-07 11:00:00,7,E04,R3,view,33.41
L00269,2026-08-07 11:01:00,7,E10,R7,export,97.16
L00146,2026-08-07 11:53:00,7,E06,R5,download,33.49
L00238,2026-08-07 16:33:00,7,E09,R8,download,26.22
L00089,2026-08-07 16:44:00,7,E04,R3,download,43.4
L00145,2026-08-07 16:53:00,7,E06,R5,export,68.83
L00176,2026-08-07 17:58:00,7,E07,R6,view,37.38
L00033,2026-08-07 20:04:00,7,E02,R2,export,43.33
L00060,2026-08-08 09:25:00,8,E03,R4,view,37.75
L00271,2026-08-08 09:33:00,8,E10,R8,download,31.86
L00008,2026-08-08 11:05:00,8,E01,R2,download,22.31
L00034,2026-08-08 11:18:00,8,E02,R1,view,36.43
L00147,2026-08-08 11:51:00,8,E06,R5,view,27.94
L00061,2026-08-08 14:57:00,8,E03,R4,download,29.23
L00120,2026-08-08 15:56:00,8,E05,R5,view,36.74
L00270,2026-08-08 16:24:00,8,E10,R8,view,46.88
L00177,2026-08-08 17:04:00,8,E07,R6,view,59.98
L00035,2026-08-08 17:51:00,8,E02,R2,download,31.57
L00091,2026-08-08 20:26:00,8,E04,R8,view,14.44
L00009,2026-08-09 09:22:00,9,E01,R2,view,43.86
L00148,2026-08-09 09:51:00,9,E06,R5,download,33.4
L00121,2026-08-09 10:25:00,9,E05,R5,view,49.9
L00210,2026-08-09 11:05:00,9,E08,R6,view,35.43
L00062,2026-08-09 11:09:00,9,E03,R3,download,9.87
L00092,2026-08-09 12:00:00,9,E04,R3,view,51.25
L00178,2026-08-09 13:18:00,9,E07,R6,view,31.35
L00209,2026-08-09 15:39:00,9,E08,R6,export,108.16
L00239,2026-08-09 16:49:00,9,E09,R8,download,56.74
L00272,2026-08-09 17:12:00,9,E10,R8,export,62.37
L00211,2026-08-10 10:12:00,10,E08,R6,download,27.35
L00179,2026-08-10 11:25:00,10,E07,R6,view,65.72
L00010,2026-08-10 12:17:00,10,E01,R2,view,37.06
L00149,2026-08-10 12:42:00,10,E06,R5,export,50.87
L00122,2026-08-10 13:48:00,10,E05,R5,view,33.97
L00063,2026-08-10 14:15:00,10,E03,R4,view,58.2
L00273,2026-08-10 14:20:00,10,E10,R7,download,17.37
L00036,2026-08-10 14:47:00,10,E02,R2,download,47.78
L00240,2026-08-10 16:06:00,10,E09,R8,view,39.3
L00011,2026-08-11 10:14:00,11,E01,R2,view,39.12
L00180,2026-08-11 11:00:00,11,E07,R6,view,33.85
L00123,2026-08-11 13:35:00,11,E05,R5,download,32.44
L00274,2026-08-11 14:18:00,11,E10,R8,download,24.21
L00064,2026-08-11 14:19:00,11,E03,R3,download,39.97
L00241,2026-08-11 14:40:00,11,E09,R8,view,32.62
L00212,2026-08-11 15:26:00,11,E08,R6,download,29.31
L00275,2026-08-12 09:10:00,12,E10,R7,view,9.19
L00242,2026-08-12 09:22:00,12,E09,R8,view,50.81
L00012,2026-08-12 10:23:00,12,E01,R1,export,36.79
L00124,2026-08-12 11:55:00,12,E05,R5,view,36.66
L00037,2026-08-12 12:40:00,12,E02,R1,view,33.28
L00151,2026-08-12 14:21:00,12,E06,R5,view,32.23
L00150,2026-08-12 14:51:00,12,E06,R5,view,19.46
L00213,2026-08-12 15:30:00,12,E08,R6,view,30.56
L00065,2026-08-12 16:11:00,12,E03,R4,view,37.72
L00181,2026-08-12 16:36:00,12,E07,R6,download,16.3
L00093,2026-08-12 20:09:00,12,E04,R3,export,93.03
L00094,2026-08-13 09:50:00,13,E04,R3,view,35.56
L00066,2026-08-13 10:28:00,13,E03,R3,download,31.75
L00038,2026-08-13 11:19:00,13,E02,R2,view,11.79
L00152,2026-08-13 13:16:00,13,E06,R5,view,43.35
L00276,2026-08-13 15:08:00,13,E10,R8,download,56.22
L00243,2026-08-13 16:54:00,13,E09,R7,download,22.62
L00153,2026-08-14 01:48:00,14,E06,R5,view,25.41
L00182,2026-08-14 09:36:00,14,E07,R6,view,30.2
L00039,2026-08-14 09:50:00,14,E02,R2,download,44.86
L00214,2026-08-14 10:01:00,14,E08,R6,download,25.0
L00183,2026-08-14 10:15:00,14,E07,R6,view,34.11
L00154,2026-08-14 11:29:00,14,E06,R5,view,33.03
L00277,2026-08-14 13:42:00,14,E10,R8,export,67.44
L00013,2026-08-14 16:07:00,14,E01,R2,download,24.93
L00095,2026-08-14 16:49:00,14,E04,R4,download,0.5
L00244,2026-08-15 10:31:00,15,E09,R8,download,28.65
L00155,2026-08-15 10:44:00,15,E06,R5,view,33.62
L00215,2026-08-15 10:59:00,15,E08,R6,download,35.3
L00014,2026-08-15 11:23:00,15,E01,R1,view,31.29
L00126,2026-08-15 13:37:00,15,E05,R5,view,44.12
L00125,2026-08-15 15:16:00,15,E05,R5,view,27.78
L00278,2026-08-15 15:42:00,15,E10,R8,download,20.82
L00097,2026-08-15 15:50:00,15,E04,R8,view,42.74
L00096,2026-08-15 16:16:00,15,E04,R4,export,51.88
L00184,2026-08-15 16:22:00,15,E07,R6,download,42.45
L00185,2026-08-15 17:11:00,15,E07,R6,download,35.48
L00040,2026-08-15 22:44:00,15,E02,R2,view,57.76
L00186,2026-08-16 09:09:00,16,E07,R6,export,102.47
L00015,2026-08-16 09:13:00,16,E01,R2,download,34.14
L00245,2026-08-16 09:14:00,16,E09,R7,download,42.36
L00127,2026-08-16 10:34:00,16,E05,R5,view,37.04
L00099,2026-08-16 13:23:00,16,E04,R8,view,31.77
L00156,2026-08-16 14:00:00,16,E06,R5,download,36.86
L00098,2026-08-16 14:29:00,16,E04,R4,view,51.42
L00041,2026-08-16 14:32:00,16,E02,R2,download,35.16
L00187,2026-08-17 09:06:00,17,E07,R6,export,39.37
L00128,2026-08-17 09:28:00,17,E05,R5,download,36.07
L00279,2026-08-17 10:12:00,17,E10,R7,download,20.76
L00129,2026-08-17 10:20:00,17,E05,R5,view,27.87
L00101,2026-08-17 10:23:00,17,E04,R3,view,34.82
L00216,2026-08-17 11:06:00,17,E08,R6,view,36.08
L00157,2026-08-17 12:37:00,17,E06,R5,view,3.19
L00042,2026-08-17 14:48:00,17,E02,R1,view,52.44
L00016,2026-08-17 15:38:00,17,E01,R1,view,47.04
L00100,2026-08-17 16:04:00,17,E04,R4,download,43.61
L00246,2026-08-17 20:57:00,17,E09,R8,view,22.73
L00217,2026-08-18 09:03:00,18,E08,R6,export,143.48
L00067,2026-08-18 11:50:00,18,E03,R3,download,53.66
L00158,2026-08-18 11:54:00,18,E06,R5,view,48.1
L00247,2026-08-18 13:49:00,18,E09,R8,download,45.49
L00130,2026-08-18 14:03:00,18,E05,R5,view,42.06
L00280,2026-08-18 14:52:00,18,E10,R8,view,53.37
L00188,2026-08-18 20:17:00,18,E07,R6,export,195.93
L00248,2026-08-19 09:33:00,19,E09,R8,view,44.22
L00068,2026-08-19 11:10:00,19,E03,R4,download,23.23
L00159,2026-08-19 12:22:00,19,E06,R5,view,45.0
L00017,2026-08-19 13:29:00,19,E01,R2,view,17.97
L00189,2026-08-19 14:13:00,19,E07,R6,view,51.28
L00102,2026-08-19 14:47:00,19,E04,R4,view,44.56
L00249,2026-08-19 14:50:00,19,E09,R8,download,50.8
L00281,2026-08-19 15:01:00,19,E10,R7,export,105.37
L00131,2026-08-19 15:31:00,19,E05,R5,view,28.99
L00160,2026-08-19 16:07:00,19,E06,R5,export,52.65
L00044,2026-08-19 16:20:00,19,E02,R2,export,128.33
L00043,2026-08-19 17:48:00,19,E02,R2,export,49.23
L00218,2026-08-19 20:16:00,19,E08,R6,download,17.7
L00219,2026-08-20 09:17:00,20,E08,R6,download,26.65
L00190,2026-08-20 09:33:00,20,E07,R6,view,2.45
L00070,2026-08-20 10:31:00,20,E03,R4,view,51.67
L00103,2026-08-20 10:55:00,20,E04,R8,view,39.4
L00250,2026-08-20 12:17:00,20,E09,R8,view,40.27
L00132,2026-08-20 12:32:00,20,E05,R1,view,57.88
L00282,2026-08-20 13:06:00,20,E10,R8,download,46.75
L00069,2026-08-20 14:34:00,20,E03,R3,export,19.76
L00045,2026-08-20 17:57:00,20,E02,R1,view,37.57
L00071,2026-08-21 10:29:00,21,E03,R3,view,48.73
L00018,2026-08-21 10:31:00,21,E01,R1,download,47.51
L00161,2026-08-21 10:32:00,21,E06,R5,view,36.18
L00133,2026-08-21 10:38:00,21,E05,R5,view,26.03
L00046,2026-08-21 14:21:00,21,E02,R2,view,20.05
L00251,2026-08-21 14:41:00,21,E09,R7,view,29.28
L00191,2026-08-21 14:55:00,21,E07,R6,view,10.04
L00047,2026-08-21 15:32:00,21,E02,R1,view,47.69
L00220,2026-08-21 15:34:00,21,E08,R6,export,101.89
L00192,2026-08-21 16:24:00,21,E07,R6,view,19.59
L00283,2026-08-21 16:41:00,21,E10,R8,download,28.03
L00221,2026-08-21 16:46:00,21,E08,R6,view,27.45
L00104,2026-08-21 22:57:00,21,E04,R8,view,23.72
L00105,2026-08-22 09:00:00,22,E04,R3,view,25.21
L00072,2026-08-22 11:18:00,22,E03,R2,view,45.29
L00193,2026-08-22 12:34:00,22,E07,R6,view,47.12
L00252,2026-08-22 12:37:00,22,E09,R8,view,51.66
L00285,2026-08-22 14:53:00,22,E10,R8,view,40.66
L00222,2026-08-22 15:25:00,22,E08,R6,download,32.98
L00073,2026-08-22 15:51:00,22,E03,R3,view,39.7
L00284,2026-08-22 16:00:00,22,E10,R8,view,24.25
L00162,2026-08-22 16:23:00,22,E06,R5,download,33.44
L00019,2026-08-22 16:43:00,22,E01,R1,view,45.98
L00106,2026-08-23 09:25:00,23,E04,R4,download,28.29
L00286,2026-08-23 10:09:00,23,E10,R8,view,36.67
L00195,2026-08-23 11:56:00,23,E07,R6,view,66.17
L00253,2026-08-23 14:19:00,23,E09,R8,view,54.32
L00135,2026-08-23 14:28:00,23,E05,R5,download,55.47
L00074,2026-08-23 14:51:00,23,E03,R3,view,33.51
L00163,2026-08-23 15:20:00,23,E06,R5,download,30.67
L00134,2026-08-23 15:51:00,23,E05,R5,download,35.66
L00223,2026-08-23 16:10:00,23,E08,R6,view,36.07
L00194,2026-08-23 16:12:00,23,E07,R6,view,32.64
L00020,2026-08-23 16:27:00,23,E01,R2,view,38.95
L00048,2026-08-23 16:34:00,23,E02,R1,view,35.62
L00164,2026-08-24 09:09:00,24,E06,R5,view,48.91
L00287,2026-08-24 10:36:00,24,E10,R7,download,31.7
L00254,2026-08-24 11:27:00,24,E09,R8,download,15.25
L00196,2026-08-24 12:04:00,24,E07,R6,view,27.2
L00107,2026-08-24 13:42:00,24,E04,R3,view,58.57
L00049,2026-08-24 14:45:00,24,E02,R2,export,111.08
L00224,2026-08-24 15:21:00,24,E08,R6,view,48.99
L00136,2026-08-24 15:32:00,24,E05,R5,download,34.61
L00021,2026-08-24 16:40:00,24,E01,R2,view,30.29
L00075,2026-08-24 20:08:00,24,E03,R3,download,56.76
L00050,2026-08-25 09:33:00,25,E02,R2,download,81.23
L00288,2026-08-25 12:09:00,25,E10,R8,download,44.02
L00255,2026-08-25 12:22:00,25,E09,R7,view,55.6
L00022,2026-08-25 12:36:00,25,E01,R2,view,17.44
L00076,2026-08-25 12:39:00,25,E03,R3,download,39.85
L00108,2026-08-25 16:07:00,25,E04,R3,view,32.63
L00197,2026-08-25 16:17:00,25,E07,R6,view,12.66
L00109,2026-08-25 17:13:00,25,E04,R3,view,35.29
L00226,2026-08-26 09:24:00,26,E08,R6,view,28.2
L00198,2026-08-26 09:45:00,26,E07,R6,view,31.4
L00289,2026-08-26 10:34:00,26,E10,R7,download,61.67
L00165,2026-08-26 12:01:00,26,E06,R5,view,38.91
L00256,2026-08-26 12:15:00,26,E09,R7,download,53.45
L00023,2026-08-26 13:40:00,26,E01,R2,view,33.06
L00137,2026-08-26 13:46:00,26,E05,R1,view,30.12
L00110,2026-08-26 15:25:00,26,E04,R8,view,38.79
L00225,2026-08-26 15:33:00,26,E08,R6,export,25.44
L00290,2026-08-27 09:47:00,27,E10,R7,view,20.15
L00024,2026-08-27 10:01:00,27,E01,R2,export,117.31
L00291,2026-08-27 10:13:00,27,E10,R7,download,46.57
L00227,2026-08-27 10:24:00,27,E08,R6,view,65.19
L00051,2026-08-27 10:41:00,27,E02,R2,view,36.8
L00166,2026-08-27 11:01:00,27,E06,R5,download,19.99
L00167,2026-08-27 11:52:00,27,E06,R5,view,49.22
L00138,2026-08-27 13:07:00,27,E05,R1,download,38.13
L00257,2026-08-27 14:11:00,27,E09,R8,download,33.04
L00077,2026-08-27 17:16:00,27,E03,R3,view,47.73
L00111,2026-08-28 09:17:00,28,E04,R8,download,40.66
L00168,2026-08-28 10:09:00,28,E06,R5,export,71.32
L00079,2026-08-28 11:02:00,28,E03,R3,view,22.77
L00052,2026-08-28 11:07:00,28,E02,R2,view,36.69
L00258,2026-08-28 11:42:00,28,E09,R8,view,21.26
L00025,2026-08-28 13:53:00,28,E01,R1,view,36.23
L00078,2026-08-28 15:18:00,28,E03,R4,view,37.85
L00228,2026-08-28 15:45:00,28,E08,R6,download,15.12
L00229,2026-08-28 20:19:00,28,E08,R6,view,41.17
L00292,2026-08-28 22:34:00,28,E10,R7,view,61.53
L00230,2026-08-29 09:16:00,29,E08,R6,view,31.92
L00080,2026-08-29 09:40:00,29,E03,R4,view,44.98
L00112,2026-08-29 09:54:00,29,E04,R8,view,42.81
L00053,2026-08-29 12:34:00,29,E02,R2,export,88.72
L00259,2026-08-29 12:46:00,29,E09,R7,view,43.49
L00169,2026-08-29 13:08:00,29,E06,R5,export,42.29
L00139,2026-08-29 14:25:00,29,E05,R1,download,35.33
L00293,2026-08-29 15:38:00,29,E10,R8,view,55.13
L00199,2026-08-29 22:45:00,29,E07,R6,view,41.76
L00260,2026-08-30 09:13:00,30,E09,R8,view,46.64
L00081,2026-08-30 10:05:00,30,E03,R2,export,49.47
L00231,2026-08-30 10:21:00,30,E08,R6,view,17.16
L00026,2026-08-30 10:43:00,30,E01,R1,view,29.81
L00170,2026-08-30 10:53:00,30,E06,R5,download,33.54
L00261,2026-08-30 10:58:00,30,E09,R8,view,20.15
L00113,2026-08-30 11:24:00,30,E04,R4,view,16.27
L00200,2026-08-30 15:03:00,30,E07,R6,export,49.56
L00294,2026-08-30 15:41:00,30,E10,R8,view,28.36
L00140,2026-08-30 20:39:00,30,E05,R5,download,33.38
L00054,2026-08-30 20:41:00,30,E02,R2,view,33.19
